,UF,regiao,data,perm_media
514,Acre,Norte,2009-09-01,5.7
515,Amazonas,Norte,2009-09-01,4.6
516,Roraima,Norte,2009-09-01,4.8
517,Pará,Norte,2009-09-01,3.6
518,Amapá,Norte,2009-09-01,4.6
519,Tocantins,Norte,2009-09-01,4.5
520,Maranhão,Nordeste,2009-09-01,4.3
521,Piauí,Nordeste,2009-09-01,4.4
522,Ceará,Nordeste,2009-09-01,5.0
523,Rio Grande do Norte,Nordeste,2009-09-01,5.4
524,Paraíba,Nordeste,2009-09-01,4.9
525,Pernambuco,Nordeste,2009-09-01,5.4
526,Alagoas,Nordeste,2009-09-01,6.0
527,Sergipe,Nordeste,2009-09-01,5.0
528,Bahia,Nordeste,2009-09-01,4.1
529,Minas Gerais,Sudeste,2009-09-01,5.3
530,Espírito Santo,Sudeste,2009-09-01,5.6
531,Rio de Janeiro,Sudeste,2009-09-01,7.7
532,São Paulo,Sudeste,2009-09-01,6.1
533,Paraná,Sul,2009-09-01,4.9
534,Santa Catarina,Sul,2009-09-01,5.2
535,Rio Grande do Sul,Sul,2009-09-01,5.9
536,Mato Grosso do Sul,Centro-Oeste,2009-09-01,4.6
537,Mato Grosso,Centro-Oeste,2009-09-01,4.4
538,Goiás,Centro-Oeste,2009-09-01,4.8
539,Distrito Federal,Centro-Oeste,2009-09-01,6.3
540,Rondônia,Norte,2009-10-01,3.6
541,Acre,Norte,2009-10-01,4.3
542,Amazonas,Norte,2009-10-01,4.8
543,Roraima,Norte,2009-10-01,5.0
544,Pará,Norte,2009-10-01,3.8
545,Amapá,Norte,2009-10-01,4.6
546,Tocantins,Norte,2009-10-01,4.5
